,School Name,BD,Region,"Before SchoolGrant Program",After School Grant Program,Youth Services
,HOLLENBECK MS,2,East,,YS PLUS / L.A. Conservation Corps,Youth Services
,HOLLYWOOD EL,5,West,,Youth Development Program,Youth Services
,HOLLYWOOD SH,4,West,,LACER,
,HOLMES AVE EL,5,East,,Woodcraft Rangers,Youth Services
,HOLMES MS,3,North,,ARC,Youth Services
,HOOPER AVE EL,5,East,Ready-Set-Go!,LA's Best,Youth Services
,HOOPER AVE PC,5,East,,LA's Best,
,HOOVER ST EL,5,West,Ready-Set-Go!,LA's Best,Youth Services
,HOPE ST EL,5,East,,Woodcraft Rangers,Youth Services
,HUBBARD ST EL,6,North,,LA's Best,Youth Services
,HUERTA EL,5,East,,LA's Best,Youth Services
,HUGHES EL,5,East,,Youth Development Program,Youth Services
,HUMPHREYS AVE EL,2,East,,Keep Youth Doing Something,Youth Services
,HUNTINGTON DR EL,2,East,,Youth Development Program,Youth Services
,HUNTINGTON PARK EL,5,East,,Woodcraft Rangers,Youth Services
,HUNTINGTON PARK SH,5,East,,Woodcraft Rangers,
,INDEPENDENCE EL,5,East,,Woodcraft Rangers,Youth Services
,INTERNATIONAL ST LC,5,East,,Woodcraft Rangers,Youth Services
,IRVING MS MME MAGNET,5,West,,LACER,Youth Services
,IVANHOE EL,5,West,,,Youth Services
,JEFFERSON SH,5,East,,UCLA,
,JOHNSON STEM ACADEMY,4,West,,Team Prime Time,Youth Services
,JONES EL,5,East,,Youth Development Program,Youth Services
,JONES PC,1,South,,STAR Education,
,JORDAN SH,7,South,,EduCare Foundation,
,JUSTICE ST ACAD CHTR,3,North,,Boys & Girls Clubs of Carson,Youth Services
,KENNEDY EL,2,East,,Keep Youth Doing Something,Youth Services
,KENNEDY SH,3,North,,ARC,
,KENTER CANYON EC,4,West,,STAR Education,Youth Services
,KENTWOOD EL,4,West,,tbd,Youth Services
,KESTER AVE EL,3,North,,STAR Education,Youth Services
,KIM ACADEMY,5,West,,YS PLUS,Youth Services
,KIM EL,5,West,,LA's Best,Youth Services
,KING JR EL,1,South,,LA's Best,Youth Services
,KING-DREW SH MD/S MAGNET,7,South,,Boys & Girls Clubs of Carson,
,KINGSLEY EL,5,West,Ready-Set-Go!,STAR Education,Youth Services
,KITTRIDGE ST EL,6,North,Ready-Set-Go!,LA's Best,Youth Services
,KNOLLWOOD PREP ACAD,3,North,,Keep Youth Doing Something,Youth Services
,KNOX EL,7,South,,LA's Best,Youth Services
,KORENSTEIN EL,6,North,,LA's Best,Youth Services
,LA SALLE AVE EL,1,South,,LA's Best,Youth Services
,LACES MAGNET,1,West,,Team Prime Time,Youth Services
,LAKE BALBOA CP K-12,3,North,,Youth Development Program,Youth Services
,LAKE ST PRIMARY,2,East,,Youth Development Program,
,LANAI RD EL,4,North,,Boys & Girls Clubs of Carson,Youth Services
,LANE EL,2,East,,Youth Development Program,Youth Services
,LANGDON AVE EL,6,North,Ready-Set-Go!,LA's Best,Youth Services
,LANKERSHIM EL,6,North,,LA's Best,Youth Services
,LASSEN EL,6,North,,LA's Best,Youth Services
,LATONA AVE EL,2,East,,LA's Best,Youth Services
,LAUREL CACT MAGNET,4,West,,Woodcraft Rangers,Youth Services
,LAWRENCE MS,3,North,,YS PLUS,Youth Services
,LAWSON ACAD A/M/S EL,1,South,,LA's Best,Youth Services
,LE CONTE MS,5,West,,LACER,Youth Services
,LEAPWOOD EL,7,South,,Youth Development Program,Youth Services
,LEE EL MED HLTH MAGNET,2,East,,Creative Brain Learning,Youth Services
,LEGACY SH VAPA,5,East,,EduCare Foundation,
,LELAND ST EL,7,South,,STAR Education,Youth Services
,LEMAY ST EL,3,North,,Youth Development Program,Youth Services
,LEXINGTON AVE PC,2,West,,Youth Development Program,Youth Services
,LIBERTY BLVD EL,5,East,Ready-Set-Go!,Youth Development Program,Youth Services
,LIECHTY MS,2,East,,Woodcraft Rangers,Youth Services
,LIGGETT ST EL,6,North,Ready-Set-Go!,Youth Development Program,Youth Services
,LILLIAN ST EL,5,East,,Youth Development Program,Youth Services
,LIMERICK AVE EL,3,North,Ready-Set-Go!,LA's Best,Youth Services
,LINCOLN SH,2,East,,EduCare Foundation,
,LIZARRAGA EL,5,East,,LA's Best,Youth Services
,LOCKHURST DR CEL,3,North,,,Youth Services
,LOCKWOOD AVE EL,2,West,Ready-Set-Go!,LA's Best,Youth Services
,LOGAN ACADEMY,2,East,,LA's Best,Youth Services
,LOMA VISTA EL,5,East,Ready-Set-Go!,Youth Development Program,Youth Services
,LOMITA EL M/S/T MAGNET,7,South,,Youth Development Program,Youth Services
,LORENA ST EL,2,East,Ready-Set-Go!,L.A. Conservation Corps,Youth Services
,LORETO ST EL,2,East,Ready-Set-Go!,LA's Best,Youth Services
,LORNE ST EL,3,North,,Youth Development Program,Youth Services
,LOS ANGELES ACAD MS,7,East,,YS PLUS,Youth Services
,LOS ANGELES EL,5,West,,LA's Best,Youth Services
,LOS ANGELES SH,1,West,,ARC,
,LOS FELIZ STEMM MAGNET,2,West,,LA's Best,Youth Services
,LOWMAN SP ED & CTC,6,North,,LA's Best,Youth Services
,LOYOLA VILLAGE EL F/PAM,4,West,,STAR Education,Youth Services
,MACARTHUR PK EL VAPA,2,East,,STAR Education,Youth Services
,MACK EL,1,South,Ready-Set-Go!,Keep Youth Doing Something,Youth Services
,MACLAY MS,6,North,,YS PLUS,Youth Services
