CostCenterCode,LocationCode,CDSCode,School,Charter,SchoolYear,BeforeSchoolGrantProgram,AfterSchoolGeneralFundedPrograms,AfterSchoolGrantProgram
1757501,7575,19647336019806,Virginia Rd El,Traditional Schools,2021-2022,NA,Youth Services,Kids 4 College
1758901,7589,19647336019814,Wadsworth Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,Youth Development Program
1760301,7603,19647336019822,Walgrove Ave El,Traditional Schools,2021-2022,NA,Youth Services,STAR Education
1760401,7604,19647330133736,Science Ac STEM Mag,Traditional Schools,2021-2022,NA,Youth Services,NA
1761401,7614,19647330129585,Nava College Prep,Traditional Schools,2021-2022,NA,NA,UCLA
1761601,7616,19647336019830,Warner Ave El,Traditional Schools,2021-2022,NA,Youth Services,NA
1763001,7630,19647330109306,Washington PC,Traditional Schools,2021-2022,NA,NA,LA's BEST
1763401,7634,19647336019848,Weigand Ave El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1763701,7637,19647336019855,Welby Way CEl,Affiliated Charters,2021-2022,NA,Youth Services,NA
1764001,7640,19647330109439,Chavez El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1764401,7644,19647336019863,West Athens El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1764901,7649,19647336019871,West Hollywood El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1765401,7654,19647336019889,West Vernon Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1765801,7658,19647330130997,Sylmar Acad BH/E Mag,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1766701,7667,19647330126573,Dymally SH,Traditional Schools,2021-2022,NA,NA,UCLA
1767101,7671,19647336019905,Western Av TECH Mag,Traditional Schools,2021-2022,NA,Youth Services,L.A. Conservation Corps
1769901,7699,19647336019913,Westminster MTES Mag,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1771201,7712,19647336019921,Westport Hts El,Traditional Schools,2021-2022,NA,Youth Services,STAR Education
1771601,7716,19647330124388,Chavez LA SJ Hum Ac,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1771801,7718,19647330124495,Rivera LC Com & Tech,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1771901,7719,19647330124503,Rivera LC GD STEAM Ac,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1772201,7722,19647330124479,Angelou Community SH,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1773401,7734,19647330125989,Bernstein SH STEM,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1774001,7740,19647336019939,Westwood CEl,Affiliated Charters,2021-2022,NA,Youth Services,NA
1774901,7749,19647331937424,Roosevelt SH,Traditional Schools,2021-2022,NA,NA,Salesian Family Youth Center
1776701,7767,19647336019947,White Point El,Traditional Schools,2021-2022,NA,Youth Services,NA
1777101,7771,19647330121095,RFK Ambsdr Glbl Ldsh,Traditional Schools,2021-2022,NA,Youth Services,YS Plus
1777101,7771,19647330121095,RFK Ambsdr Glbl Ldsh,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1777201,7772,19647330122374,Torres Renaissance,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1777301,7773,19647330122382,Torres Eng & Tech,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1777401,7774,19647336019954,Wilbur CEA,Affiliated Charters,2021-2022,NA,Youth Services,NA
1777501,7775,19647330122358,Torres Hum/Art/Tech,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1777701,7777,19647330122366,Torres HS SJLA Mag,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1778001,7780,19647330119693,RFK UCLA Comm Sch,Traditional Schools,2021-2022,NA,Youth Services,UCLA
1778101,7781,19647336019962,Wilmington Park El,Traditional Schools,2021-2022,NA,Youth Services,Boys & Girls Club of LA Harbor
1778301,7783,19647330119685,RFK New Open Wld,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1778301,7783,19647330119685,RFK New Open Wld,Traditional Schools,2021-2022,NA,NA,EduCare Foundation
1779501,7795,19647336019970,Wilshire Crest El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1780801,7808,19647336019988,Wilton Pl El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
